fecha,operacion,tipo_valor,emisora,serie,titulos,precio_sucio,por_liquidar,vm_ref,clase_op
,C,90,VRZCB,08U,91154.0,548.787212,0.0,52843153.970838,Bono
,C,91,AC,22,400000.0,104.463464,0.0,41698323.2,Bono
,C,91,DONDE,25L,350000.0,100.0,0.0,35589773.45,Bono
,C,91,EDUCA,26L,300000.0,100.0,0.0,30048768.6,Bono
,C,91,ELEKTRA,22U,41764.0,718.460657,0.0,37437907.675348,Bono
,C,91,ELEKTRA,23-2L,350000.0,100.0,0.0,35828631.65,Bono
,C,91,ELEKTRA,25-2,500000.0,100.0,0.0,52076759.0,Bono
,C,91,FIHO,19,150000.0,88.190484,0.0,15259547.25,Bono
,C,91,FUNO,25-2L,150000.0,104.174174,0.0,15876011.55,Bono
,C,91,LFUCB,25,400000.0,100.0,0.0,40230091.6,Bono
,C,91,TPLAYCB,24,330000.0,100.0,0.0,33122901.57,Bono
,C,93,ELEKTRA,00126,450000.0,100.0,0.0,45131805.9,Bono
,C,93,TPLAY,00126,400000.0,100.0,0.0,40069278.0,Bono
,C,94,BACTIN,23-3,500000.0,100.0,0.0,50149448.5,Bono
,C,94,CSBANCO,24,200000.0,100.0,0.0,20118144.8,Bono
,C,94,CSBANCO,25,600000.0,100.0,0.0,60137632.8,Bono
,C,95,CFE,21-2U,32156.0,833.980121,0.0,28868001.955772,Bono
,C,95,CFECB,12,760000.0,58.009677,0.0,39123783.88,Bono
,C,95,PEMEX,26-2,500000.0,100.0,0.0,53029624.0,Bono
,C,BI,CETES,260723,1117884.0,9.976435,0.0,11176822.21938,Bono
,C,BI,CETES,260806,284466.0,9.628508,0.0,2837035.457802,Bono
,C,BI,CETES,261001,85270463.0,9.871506,0.0,841747887.127278,Repo
,C,BI,CETES,280608,5000000.0,8.644912,0.0,43381265.0,Bono
,C,M,BONOS,270304,100000.0,89.887439,0.0,10138663.9,Bono
,C,M,BONOS,270603,300000.0,95.49645299999999,0.0,30490027.2,Bono
,C,M,BONOS,290531,500000.0,101.629129,0.0,51194118.0,Bono
,C,M,BONOS,300228,350000.0,101.523089,0.0,36305635.1,Bono
,C,M,BONOS,310529,1000000.0,95.452506,0.0,97838331.0,Bono
,C,M,BONOS,330526,1050000.0,91.27933900000001,0.0,98284462.5,Bono
,C,M,BONOS,341123,1300000.0,99.52929400000001,0.0,120940994.2,Bono
,C,M,BONOS,360221,900000.0,94.698852,0.0,85759590.6,Bono
,C,M,BONOS,361120,950000.0,113.443661,0.0,101190314.95,Bono
,C,M,BONOS,381118,600000.0,97.07363799999999,0.0,56393481.6,Bono
,C,M,BONOS,421113,500000.0,98.445161,0.0,42751219.0,Bono
,C,M,BONOS,471107,500000.0,96.600689,200000.0,43071438.0,Bono
,C,M,BONOS,530731,500000.0,87.931247,0.0,43549392.5,Bono
,C,M,BONOS,550429,700000.0,89.110209,200000.0,59413060.0,Bono
,C,S,UDIBONO,281130,84302.0,762.239482,0.0,74922907.394354,Bono
,C,S,UDIBONO,311127,99714.0,695.212855,0.0,81058308.81057,Bono
,C,S,UDIBONO,340824,40112.0,750.336507,0.0,34470021.730448,Bono
,C,S,UDIBONO,351122,136897.0,805.91516,0.0,120703541.894771,Bono
,C,S,UDIBONO,401115,91449.0,763.7825670000001,0.0,75377712.045195,Bono
,C,S,UDIBONO,431112,71919.0,698.0368060000001,0.0,52808744.954583,Bono
,C,S,UDIBONO,461108,92197.0,759.154745,-62229.0,74078652.726659,Bono
,C,S,UDIBONO,501103,117310.0,764.910581,0.0,94014888.13875,Bono
